boot_id,success,message,objective,n_markets,delta_B,lambda_S,phi_K,k0,k1,gamma_S
31,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.82395356968459,7324,0.9836174087004985,0.15200039759456346,4.112613899632999,1.2504180931319786,5.0,0.8690187024367061
32,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,41.209781071642105,7324,0.8933322148971224,0.18271323707546835,3.3745637259282417,1.464181859413438,2.9448825309582705,0.8409751748180488
33,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54.805295259953574,7324,0.8347227110218916,0.1683999583625452,4.986055426262209,2.152455702806268,5.0,0.9039822490288305
34,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,55.20266896135589,7324,0.9275805906424371,0.18104485087258304,3.6335620522816225,1.668840237427922,5.0,0.8152680747026996
35,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,64.19875402775843,7324,0.9603478725215143,0.18001593589343073,4.517218390794612,1.3791725050189518,4.943667742433782,0.8423945222983952
36,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56.9523940754613,7324,0.8826909339572785,0.17041976173185275,8.0,1.9641782049891092,5.0,0.9127787542299185
37,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.106320439149094,7324,0.9221985466488216,0.16799711393670672,2.1426294916615327,1.787709731060005,5.0,0.7666628242041235
38,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.009088086357,7324,0.9392346844184128,0.23301898302202054,1.0458797668436166,1.2514345363860535,5.0,0.0009295890000225589
39,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.42405864084496,7324,0.9459392978062214,0.15687448143523422,0.8832359897822609,1.594407573938506,5.0,0.3996534051425202
40,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.42595174999031,7324,0.9213417046562947,0.26178246399783534,6.452738451363749,1.3348450589337129,4.152342975522637,0.8445989318083363
41,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.72599081944187,7324,0.9348836126752907,0.23215377274317095,1.9202085185706783,1.607812165879625,5.0,0.45999607420642985
42,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.05386003020249,7324,0.8856248971742171,0.13345047080019082,2.7420890129159554,2.2027439415896524,5.0,0.8259879814509077
43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,61.0073560761848,7324,0.9029344125796605,0.20251896850213089,5.753054248394323,1.6316237705250969,5.0,0.8869536186954334
44,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,32.570659874085145,7324,0.9565359426728107,0.22274502163630078,1.5933075410144641,1.3948879550551712,5.0,0.42219377469944924
45,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.36001710611425,7324,0.9022399896783195,0.14899516933913748,2.677682428463801,1.687018381082587,5.0,0.8145563084787255
46,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,38.39243008245884,7324,0.8764756024501974,0.15954227882298563,2.6221651695264683,2.075778412037106,5.0,0.8311675511820994
47,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,35.49703348219631,7324,0.9397571822142446,0.1509451967078726,8.0,1.5334322364937671,4.514479782626608,0.9322778772764977
48,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58.30416796665244,7324,0.8772922160808988,0.1913091093426241,4.043591852855883,1.7744794860053372,5.0,0.8267329268595198
49,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.302217683014135,7324,0.9739216883129497,0.23185489317672806,4.942388103505755,1.2241545051563945,5.0,0.8509055064453264
50,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,52.68618742195013,7324,0.8985498336454162,0.1928401185213978,3.7777552533351466,1.4708641928923258,4.055397982327234,0.8136262081195358
51,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48.56905059941964,7324,0.9261353246156997,0.19871721364230238,3.0162667611295797,1.530745679348576,5.0,0.7504904381797767
52,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.40710623299401,7324,0.9140916703098356,0.1799766065790692,2.7934241011674716,1.524513886755986,5.0,0.781634837737896
